文本,情感指数,情感
标题五个字,0.33479576124586374,消极
评论,0.3913043478260875,消极
我不好说,0.1576830766210735,消极
楼主,0.5517570736126622,积极
怎么评价捏,0.40248763564257295,消极
评论,0.3913043478260875,消极
我的评价是给你点个赞,0.6931867685335914,积极
评价捏么我先赞一个,0.8433994410533503,积极
这得看不良信息是怎么定义的捏,0.4649350216165148,消极
以后没有评价就是最好的评价,0.506304809143206,中性
楼主,0.5517570736126622,积极
如何评价,0.4279835390946498,消极
评论,0.3913043478260875,消极
赢,0.692307692307692,积极
楼主,0.5517570736126622,积极
威武雄壮,0.7297953905324696,积极
评论,0.3913043478260875,消极
楼主,0.5517570736126622,积极
吧友们有没有那个我也是四万万人之一我怎么没有感受到的图,0.6404752708949292,积极
评论,0.3913043478260875,消极
还有那个的,0.5262327818078083,中性
顶顶私我也行,0.7590085694937466,积极
楼主,0.5517570736126622,积极
哈哈真是谢谢啊,0.5965665236051504,积极
评论,0.3913043478260875,消极
太牛了太牛了,0.35765023733861556,消极
正经人谁他妈还看电视,0.4682435590399201,消极
花钱请我看都,0.09364830368991817,消极
经过筛选的节目谁看阿,0.47311548820957405,中性
服了,0.25125628140703504,消极
电视都没装,0.09042063405975864,消极
我还以为手机欠费不停机看三大运营商有没有这个魄力,0.4515616169266171,消极
看电视干甚么看幸福联播看这样些狗脸,0.7932598359278951,积极
一直不懂为什么这类媒体发文喜欢用给市民追剧提供便利他们是觉得加了就很高大上很酷吗,0.9886053894423776,积极
楼主,0.5517570736126622,积极
如何评价我的同学,0.7244598004602996,积极
评论,0.3913043478260875,消极
我我平时现实也没那么魔怔而且看和他关系挺好的于是没事就爱跟他分享下吧里的内容结果今晚不知咋地莫名奇妙就给我发了条信息,0.9975408797543022,积极
是不是既得利益群体都沾丶这样的嘴脸,0.17284937202513972,消极
大评价一下,0.4336198777554612,消极
盟军防空,0.44767845850986676,消极
我的评价是你有问题天天整这个谁不烦,0.5205687979753814,中性
你玩不玩原神,0.6373702496971436,积极
这头像不是航,0.2580202934451882,消极
自己看看就得了到处说没必要,0.11781080747461892,消极
你多少有点,0.43653543307086606,消极
那以后泥也不要在世界上出现了世界对泥不感兴趣,0.9839389931492183,积极
不知道你同学但你很逆天,0.5340182390188458,积极
他发的东西你也不感兴趣就行了这叫对等原则,0.7786716503951456,积极
楼主,0.5517570736126622,积极
如何评价,0.4279835390946498,消极
评论,0.3913043478260875,消极
可怜吴亦凡有苦说不出,0.8225991572329785,积极
要干什么一目了然,0.3128128795514482,消极
灭火大使吴亦凡,0.9506534301904632,积极
这是碰都不能碰的滑梯,0.017981503411615418,消极
懂了吧,0.5230352303523035,中性
楼主,0.5517570736126622,积极
评价一下,0.4279835390946498,消极
评论,0.3913043478260875,消极
麻了,0.6333333333333333,积极
有哪次不是这样呢,0.34527875471283087,消极
建议申请吉尼斯,0.08737275602223671,消极
排队好,0.3398216573888615,消极
申请世界纪录,0.4192909144642716,消极
怎么楼了,0.47855340622371756,中性
全被吞了这牙打掉还得吞下去有苦说不出,0.027084435098165605,消极
申请世界纪录,0.4192909144642716,消极
你看看你是几楼,0.8,积极
尼砍堪你是记搂,0.29398086721323924,消极
千言万语化为一个字赢,0.8014121627188336,积极
这还行不算特别长了,0.7354798452359499,积极
楼主,0.5517570736126622,积极
每次都能用这张图精准破防一些神神,0.7001751820798585,积极
评论,0.3913043478260875,消极
蚌埠住了吧里的神神不会都是这样吧,0.7871718911362159,积极
神神别急,0.34725647465822673,消极
咋了陕西是盛产滴能吗,0.40048935973270194,消极
这是你叠被抓了所以来这里嘲讽,0.9400118533598695,积极
这倒没有捏,0.4083644629223794,消极
力度再加大一点,0.09024992151809508,消极
对就是这样蒸馍了,0.1513331685870547,消极
看我狠狠滴拷打你,0.626730999723831,积极
什么,0.5262327818078083,中性
什么滴嫩儿,0.8069484248719837,积极
团团确实长这样你们的老板也长这样啊,0.6787347133802545,积极
哪来的,0.5262327818078083,中性
楼主,0.5517570736126622,积极
最近咋都神了,0.5,中性
评论,0.3913043478260875,消极
一天时间抖全都变成人口吧分吧了,0.035774100162282996,消极
你就继续吞,0.29999999999999993,消极
被压垮了吧,0.1385012608352847,消极
的人可以称之为神的人还能用神这个称呼吗,0.8501157734256879,积极
油门踩到底了,0.37492158135398657,消极
我早就是了,0.527272727272727,中性
一阵热度过了就没了我预测抖音马上会火一个类似之前王心凌刘畊宏的人接掌热度,0.9056424630597846,积极
早就是了,0.5225225225225225,中性
这个还真没在怕的,0.3789512651320308,消极
让子弹再飞一会,0.441618054146521,消极
快手早就神了,0.579811836448925,积极
哈哈哈迟早的,0.855948838728563,积极
大势,0.8,积极
楼主,0.5517570736126622,积极
对对对对对,0.4737672181921908,中性
评论,0.3913043478260875,消极
楼主,0.5517570736126622,积极
来点人口吧的专用语,0.4169551613984258,消极
评论,0.3913043478260875,消极
罕见镇楼,0.5073815199988454,中性
给你一点小小的中国震撼,0.928976554022057,积极
你以为扣吧都是罕见鸟市的事情出了后现在微博抖音都是扣吧了,0.2563450944495461,消极
楼主,0.5517570736126622,积极
如何评价,0.4279835390946498,消极
评论,0.3913043478260875,消极
急行军,0.5,中性
这下不仅锁定了年度总冠军还提前一年卫冕了,0.9078254957096434,积极
什么特洛伊木马,0.7454054097552372,积极
特洛伊木马,0.7454054097552372,积极
中,0.7150301700493692,积极
楼主,0.5517570736126622,积极
为什么我觉得人口吧越来越恶心了,0.16090530306686945,消极
评论,0.3913043478260875,消极
去年看的,0.6777381027463464,积极
本人在去年年中就屏蔽了航吧结果现在居然觉得人口吧更恶心了,0.026440625374342774,消极
因为这几个月一直在上分,0.28787935811437715,消极
前言不搭后语的快把观点亮出来,0.3146194218541666,消极
以前人口吧理性分析的人还多点现在一个贴四分之三都是复制黏贴那几张破图的贵物,0.9435213039174722,积极
老师没告诉你看待事物要辩证看待吗这又不是什么非黑即白的世界,0.9990299973218971,积极
我也觉得恶心,0.12413793103448256,消极
你觉得恶心你就去建设它,0.08093821580906935,消极
恶心的不是口吧是,0.06305008699187598,消极
是人口吧说的恶心还是人口吧发出来的事儿恶心,0.005015973374100646,消极
哦,0.5262327818078083,中性
楼主,0.5517570736126622,积极
标题全是字,0.38267110290102013,消极
评论,0.3913043478260875,消极
楼主,0.5517570736126622,积极
看完这个我真说不出什么了,0.46978292960694235,消极
评论,0.3913043478260875,消极
哎,0.5262327818078083,中性
麻了特色带学产出小布,0.7408563337497487,积极
你为什么专挑这些报道,0.9392980561856817,积极
怎么没人说话呢,0.3355113788911265,消极
过好自己的日子吧生生皆苦,0.8044051733208732,积极
哎呀人死了才要重视嘛要不然你今天要住宿舍明天就要盖别墅后天要当校长那不麻烦了吗,0.017615321433347875,消极
就算你能说出什么光说不做也是用没有,0.12314638006592982,消极
故事永远在悲伤之后,0.9960313019894305,积极
楼主,0.5517570736126622,积极
吧友们怎么看,0.5618565332226944,积极
评论,0.3913043478260875,消极
杀杀杀杀杀,0.08719122899517828,消极
纱纱纱,0.0015805828784554166,消极
挂路灯,0.1939282100096278,消极
楼主,0.5517570736126622,积极
如何评价这几位,0.43907417357014156,消极
评论,0.3913043478260875,消极
贴吧是吧,0.5243243243243246,中性
打个,0.5262327818078083,中性
赢趴,0.5031888242782515,中性
人和人之间是会相互吸引的贵物也是,0.9795014422650593,积极
答辩,0.5,中性
蒸馍,0.2308283396275872,消极
重量级,0.5278529264187097,中性
尸体派对,0.40306518103660505,消极
开赢趴喽,0.35407872783810235,消极
陈顺平杜顺金张顺为,0.6445121919571447,积极
劳保中的劳保,0.6703760339293693,积极
这是不能碰的话题,0.0722981406766875,消极
楼主,0.5517570736126622,积极
看到迷惑言论,0.5067856352394261,中性
评论,0.3913043478260875,消极
满意离开,0.6537572263751881,积极
我们是这样的,0.5262327818078083,中性
原神怎么了你后面忘了,0.5235588767764516,中性
连自己人生都不知道干什么是吧,0.1523130689079557,消极
原神怎么你了后面忘了,0.5235588767764516,中性
三产是可以说不算但是二产一样受很大影响,0.39063878419550124,消极
玩的不一定逆天但是十个逆天的里面有九个玩的,0.08121372100565172,消极
我证明一下都是这样的,0.4942310852403883,中性
明显未成年一股味儿,0.7297953905324696,积极
三沾二节目效果有了,0.3611370371231044,消极
第一定律永远管用,0.2526796706141329,消极
怎么你了,0.5262327818078083,中性
原神怎么你了,0.5,中性
楼主,0.5517570736126622,积极
标题六个字,0.33439854101922284,消极
评论,0.3913043478260875,消极
白纸,0.1428571428571429,消极
只有这个了,0.5262327818078083,中性
真理,0.7199999999999998,积极
几楼,0.8,积极
楼好像都被吞了,0.2120795613819979,消极
真的假的如果是真的那大的就要来了,0.22381522977284096,消极
太长了不看,0.29999890249705596,消极
大的要来了,0.5319597284008428,积极
这是一种自信,0.9800585463081845,积极
这是几楼,0.8,积极
几,0.5262327818078083,中性
大瓜,0.5,中性
楼主,0.5517570736126622,积极
标题五个字,0.33479576124586374,消极
评论,0.3913043478260875,消极
鉴不鉴啊经典不要忘本,0.9166656707735064,积极
加三,0.3974129204110929,消极
我给他这么多钱看看他能不能捐上一毛钱,0.19402407318244352,消极
猪大屁,0.7101853552158714,积极
不敢评价,0.16101050065275002,消极
弃婴哪来的忘本一说,0.5836947071099388,积极
别人养大的弃婴还得回来感谢你,0.9082268994041639,积极
楼主,0.5517570736126622,积极
是这样嘛,0.5262327818078083,中性
评论,0.3913043478260875,消极
人口吧曝光度真高,0.6494902532263445,积极
作为黄牌我很骄傲,0.9810521870355746,积极
排队的大部分都是年轻人吧只不过年轻人大部分都打包吧,0.8980595809064137,积极
趁人少我建议人口吧迅速开分吧,0.12831380330276487,消极
天都大亮了别说上班族学生都到校了,0.1979058311883385,消极
早餐居然能吃馒头配水以外的东西看来还不够辛苦,0.06161561257437609,消极
楼主,0.5517570736126622,积极
有没有什么容易破防的图,0.1338861243757612,消极
评论,0.3913043478260875,消极
新人入吧有没有让人一看就破防的图呢,0.2971409309722314,消极
任何和他相关的图片都让人破防物是人非事事休,0.12683899824752076,消极
一位吧友的母亲说说,0.8920985619882793,积极
楼主,0.5517570736126622,积极
于心何忍,0.2691684818723401,消极
评论,0.3913043478260875,消极
百度贴吧视频来自,0.814935038617334,积极
这地方乞丐这么容易遇到,0.12449652619538298,消极
惊呆了,0.8647693965432598,积极
不是忘拔钥匙而是我们这外卖的就很多不拔钥匙的一般不会有人偷,0.1184770088752547,消极
偷车贼可不管车主人难不难,0.5901728922429573,积极
真有素质,0.32750985990228265,消极
偷东西对小偷种来讲一种根植在基因的病不信你们可以去问问小偷,0.13168153630618384,消极
哈哈叫你娃狂不知道窃格瓦拉已经被放出来了,0.23742284366887834,消极
这清晰度应该能识别对比出来吧,0.38014125888399075,消极
一脸懵逼哈哈,0.6527189353683979,积极
活该,0.671717171717172,积极
坏到骨子里,0.4076518891122245,消极
我说了一下一共秒,0.16263863917245824,消极
跑得掉吗,0.31168789817859965,消极
骑手就是的大,0.5889898561892765,积极
楼主,0.5517570736126622,积极
如何评价捏,0.40248763564257295,消极
评论,0.3913043478260875,消极
如图,0.6198830409356725,积极
不要脸的东西,0.369137110418826,消极
你就该多多报道这种事,0.7035125284605958,积极
把他的玛尼给我一半我天天歌颂,0.8332378176512377,积极
这居然是马院的卧槽,0.18677465068617916,消极
好继续报道,0.8373301868856754,积极
给年轻资源给钱就好了别废话,0.4227644827182321,消极
对豆奶拙劣的模仿表演太生硬,0.6721386553859824,积极
都是为了混口饭吃人家行不能丢了工作吧,0.30950009213310503,消极
抑言丁真,0.432861403783546,消极
现在就没有阴阳怪气都在做众志成城的事情呢,0.749882921021469,积极
楼主,0.5517570736126622,积极
这地狱吗,0.4166666666666664,消极
评论,0.3913043478260875,消极
蚌埠住了,0.5,中性
这个呢,0.5262327818078083,中性
疯子,0.7499999999999999,积极
这是吕布被黑的最惨的一次,0.6316842699769567,积极
楼层消失术,0.5910322827916147,积极
楼主,0.5517570736126622,积极
现在的抖音比人口吧戾气还重,0.045047003175904377,消极
评论,0.3913043478260875,消极
何以见得,0.5122783096101873,中性
图呢,0.6198830409356725,积极
星星之火可以燎原,0.4737672181921908,中性
当然最主要这封那封有些人不满但是和新冠一起工作有多少人愿意呢还有抖那除了带节奏的当然我看了些自私的也可以无视基本没钱就骂的,0.022292279024162087,消极
因为啥都能发人口吧发不出来,0.11403035650620741,消极
是人口吧转战抖音了,0.09035020242333236,消极
不信鱼的记忆,0.7434476316864099,积极
加速抖的传播速度可比贴吧强多了,0.7990196509777384,积极
以后只会越来越多,0.5408936905295788,积极
兔转神的比神还要神,0.9258498469055597,积极
抖音平台大嘛众人拾柴那啥高,0.7199975131494034,积极
反正抖音我是看樂了未來可期嘛,0.615231685630876,积极
楼主,0.5517570736126622,积极
我的朋友圈已经变成小人口吧了都被搞疯了,0.16238720028433995,消极
评论,0.3913043478260875,消极
我的朋友圈已经变成小人口吧了都被搞疯了,0.16238720028433995,消极
我的也是,0.5262327818078083,中性
哪有不疯的硬撑罢了,0.24455304895120344,消极
物以类聚人以群分所以神友的朋友圈大多是神友,0.931582337953495,积极
都变文明了,0.865667462205683,积极
哪有什么人口吧全民朋友圈罢了,0.7507533569611323,积极
众望所归,0.5,中性
星星之火可以燎原,0.4737672181921908,中性
全部抓走,0.5292975702284548,中性
看看你的朋友,0.6104152933421225,积极
哈人血别到我身上,0.6800724455899304,积极
特别是今天很多人都在发,0.6013321730358171,积极
确实而且我这里还算比较严重的,0.7379936993915589,积极
比不过阿姆斯特丹这种但是水平还是有的,0.49287386135983646,中性
一夜之间多少兔兔变神神,0.9983149624086,积极
楼主,0.5517570736126622,积极
吧友们捡个手机怎么办,0.3236073869868107,消极
评论,0.3913043478260875,消极
扔地上,0.48365530667329815,中性
建议扔地上,0.3287403660995082,消极
一刀斩了,0.273138157497677,消极
吃我一刀,0.6082298105175377,积极
复刻经典,0.7410444709750486,积极
我不一样我建议你摔地上,0.20525875036962404,消极
能不能打开格式化了再放回去,0.1411057718475106,消极
不小心踢到下水道里了,0.15745993384982926,消极
扔水里不会好好说话,0.34322116793314594,消极
丢河里,0.43764152166216963,消极
有摄像头放回原位没摄像头直接干碎,0.2521708356417598,消极
吃我一刀,0.6082298105175377,积极
本来想还的看到屏幕文字这么吊果断砸烂,0.29993905406879984,消极
楼主,0.5517570736126622,积极
打的好非常喜欢,0.7997299135570182,积极
评论,0.3913043478260875,消极
百度贴吧视频来自,0.814935038617334,积极
卧槽十年不晚,0.2662387705824535,消极
打的好以前有些老师根本不配作为老师我以前也被老师冤枉还是做好事被冤枉然后被老师狠狠地揍我遇到了我虽然不会打回来但肯定会用国粹问候,0.9988479238889815,积极
这人蹲了一年零个月代价很大,0.8737729614152374,积极
这么打都教不好没救了,0.20832916299096538,消极
我考二十年了还回去,0.7168789924146108,积极
老师想没想过你的一举一动一言一行会对学生造成怎样的影响,0.8919059096946607,积极
君子报仇十年不晚,0.06779315833121247,消极
判了一年半,0.3429632423226676,消极
这让我想起了当年的班主任,0.9865234281746998,积极
人又没受伤关不了多久,0.37324721221070467,消极
记得后续是多年不联系的同学看到此事后出来帮这个同学作证当年老师就是这样对他的,0.9987177403502081,积极
老师被削了但是头发却长出来了不亏,0.9122762559723949,积极
楼主,0.5517570736126622,积极
用三个字形容你在的省份,0.26207150034297355,消极
评论,0.3913043478260875,消极
大巴车,0.7499999999999999,积极
穷富穷,0.574549474228723,积极
挖掘机,0.16666666666666674,消极
信球货,0.32635148359503174,消极
偷电瓶,0.48726267032244897,中性
是不是反了,0.3809054537114972,消极
狗摇头,0.3770921681381376,消极
爱睡田,0.7280131706957762,积极
辣妹子,0.7590970359833019,积极
分数高,0.7223158727090638,积极
大河南,0.30111129589578023,消极
山东省,0.5,中性
北京市,0.2500000000000001,消极
给他苦完了,0.6577511296387615,积极
楼主,0.5517570736126622,积极
今天是个特殊的日子,0.8199644104852021,积极
评论,0.3913043478260875,消极
如题,0.3846153846153848,消极
不辱韩吗,0.6645037616567715,积极
这个不喷他们是真正的英雄可惜这土地上出了些,0.8765667316192315,积极
致敬,0.875,积极
白白,0.2941176470588235,消极
人口吧还真有不少真罕见,0.7800250695230835,积极
换一家,0.26316995588575287,消极
来世当享受生活了吧,0.91694376382002,积极
这些烈士每家发都不过分吧,0.010063939332373706,消极
楼主,0.5517570736126622,积极
求助人口吧大兄弟们,0.11656705177989846,消极
评论,0.3913043478260875,消极
楼主,0.5517570736126622,积极
极少数人的错误思想代表不了全国,0.3467916887451957,消极
评论,0.3913043478260875,消极
太阳照常升起你们这些所谓的神神还是过得太安逸,0.9626985330322573,积极
楼主,0.5517570736126622,积极
这几天都没上网发生了什么了,0.33155977288138405,消极
评论,0.3913043478260875,消极
昨天,0.6433121019108282,积极
申城,0.5,中性
江城,0.5,中性
你想了解什么,0.5441789912779675,积极
看得见吗,0.7499999999999999,积极
清华,0.7499999999999999,积极
赛季末都在冲分,0.4254540417634992,消极
季后赛附加赛复活赛各地风起云涌,0.9504060561721797,积极
建议上推,0.22220126584160582,消极
事情有点多,0.5310492505353319,积极
害怕,0.41860465116279044,消极
楼主,0.5517570736126622,积极
比我想的魔幻,0.9866712509885621,积极
评论,0.3913043478260875,消极
典,0.8627450980392156,积极
一点点圈里都要把他发挥到淋漓尽致不然没有就人上人的感觉属于文化沉淀了,0.7892729723822093,积极
怎么感觉这语气不是说话说晚了是掏红包掏晚了呢,0.047647209161146065,消极
典,0.8627450980392156,积极
赢,0.692307692307692,积极
我觉得这就是一种自信,0.9800585463081845,积极
手一背气势一下就上来了,0.8331572866147282,积极
典,0.8627450980392156,积极
这是真的吗也过于离谱了吧,0.3389027234061456,消极
楼主,0.5517570736126622,积极
不开精选评论的后果,0.6016491487567233,积极
评论,0.3913043478260875,消极
没看过的去看看有乐子,0.37502205026787117,消极
润人急了,0.6559599074859487,积极
要多少次回首才能看见中间忘了后边也忘了,0.7500195356588083,积极
就看看是几楼,0.8,积极
楼层为空别让楼主寂寞太久,0.9329737480000073,积极
几楼,0.8,积极
乐,0.737704918032787,积极
这几楼了,0.8,积极
楼主,0.5517570736126622,积极
们这是什么梗,0.5,中性
评论,0.3913043478260875,消极
鼠鼠好久没冲浪了,0.1687189037436504,消极
不知道,0.3693910911319984,消极
哈人,0.5702515177797052,积极
大西王,0.8160815160081122,积极
哈人呢,0.5702515177797052,积极
还不是你们不努力,0.3704157524891626,消极
楼主,0.5517570736126622,积极
发生了些比世界杯更有意思的事情,0.9147054689077415,积极
评论,0.3913043478260875,消极
哈哈应该又要被删了,0.43181818181818177,消极
楼主,0.5517570736126622,积极
理性吃瓜,0.8873572277701897,积极
评论,0.3913043478260875,消极
大伙怎么看,0.39068183821864666,消极
楼主,0.5517570736126622,积极
这种是剧本吧发的净是些猎奇的东西,0.8045454539112357,积极
评论,0.3913043478260875,消极
